label	IsolateName	HostLevel1	name_host	Host	LocationLLev1	Location	name	clade	date
A/duck/Vietnam/NCVD-2848/2013|2013-03-01|Viet_Nam|Avian	A/duck/Vietnam/NCVD-2848/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-2848/2013|EPI_ISL_245270|A_/_H5N1||2013-03-01	2.3.2.1e	3/1/2013
A/chicken/Khanhhoa/CVVI-18/2013|2013-03-06|Viet_Nam|Avian	A/chicken/Khanhhoa/CVVI-18/2013	Avian	chicken	Terrestrial poultry	Vietnam	Vietnam	A/chicken/Khanhhoa/CVVI-18/2013|EPI_ISL_167359|A_/_H5N1||2013-03-06	2.3.2.1a	3/6/2013
A/chicken/Vietnam/NCVD-2816/2013|2013-03-08|Viet_Nam|Avian	A/chicken/Vietnam/NCVD-2816/2013	Avian	chicken	Terrestrial poultry	Vietnam	Vietnam	A/chicken/Vietnam/NCVD-2816/2013|EPI_ISL_245144|A_/_H5N1||2013-03-08	2.3.2.1e	3/8/2013
A/pheasant/Vietnam/NCVD-2999/2013|2013-04-04|Viet_Nam|Avian	A/pheasant/Vietnam/NCVD-2999/2013	Avian	pheasant	Wild birds	Vietnam	Vietnam	A/pheasant/Vietnam/NCVD-2999/2013|EPI_ISL_245145|A_/_H5N1||2013-04-04	2.3.2.1e	4/4/2013
A/chicken/Vietnam/NCVD-3185/2013|2013-04-05|Viet_Nam|Avian	A/chicken/Vietnam/NCVD-3185/2013	Avian	chicken	Terrestrial poultry	Vietnam	Vietnam	NA	2.3.2.1e	4/5/2013
A/chicken/Vietnam/NCVD-3186/2013|2013-04-05|Viet_Nam|Avian	A/chicken/Vietnam/NCVD-3186/2013	Avian	chicken	Terrestrial poultry	Vietnam	Vietnam	A/chicken/Vietnam/NCVD-3186/2013|EPI_ISL_245242|A_/_H5N1||2013-04-05	2.3.2.1e	4/5/2013
A/duck/Vietnam/NCVD-3188/2013|2013-04-07|Viet_Nam|Avian	A/duck/Vietnam/NCVD-3188/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-3188/2013|EPI_ISL_245243|A_/_H5N1||2013-04-07	2.3.2.1e	4/7/2013
A/duck/Vietnam/NCVD-3190/2013|2013-04-07|Viet_Nam|Avian	A/duck/Vietnam/NCVD-3190/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-3190/2013|EPI_ISL_245244|A_/_H5N1||2013-04-07	2.3.2.1e	4/7/2013
A/duck/Quang_Ninh/21/2013|2013-04-10|Viet_Nam|Avian	A/duck/Quang_Ninh/21/2013	Avian	duck	Duck	Vietnam	Vietnam	NA	2.3.2.1e	4/10/2013
A/duck/Vietnam/NCVD-3209/2013|2013-04-10|Viet_Nam|Avian	A/duck/Vietnam/NCVD-3209/2013	Avian	duck	Duck	Vietnam	Vietnam	NA	2.3.2.1e	4/10/2013
A/duck/Vietnam/NCVD-3205/2013|2013-04-11|Viet_Nam|Avian	A/duck/Vietnam/NCVD-3205/2013	Avian	duck	Duck	Vietnam	Vietnam	NA	2.3.2.1e	4/11/2013
A/duck/Vietnam/NCVD-3208/2013|2013-04-11|Viet_Nam|Avian	A/duck/Vietnam/NCVD-3208/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-3208/2013|EPI_ISL_245162|A_/_H5N1||2013-04-11	2.3.2.1e	4/11/2013
A/duck/Quang_Ninh/15c111/2013|2013-04-13|Viet_Nam|Avian	A/duck/Quang_Ninh/15c111/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Quang_Ninh/15c111/2013|EPI_ISL_179273|A_/_H5N1||2013-04-13	2.3.2.1e	4/13/2013
A/muscovy_duck/Quang_Ninh/7c121/2013|2013-04-13|Viet_Nam|Avian	A/muscovy_duck/Quang_Ninh/7c121/2013	Avian	muscovy_duck	Wild birds	Vietnam	Vietnam	A/muscovy_duck/Quang_Ninh/7c121/2013|EPI_ISL_179253|A_/_H5N1||2013-04-13	2.3.2.1e	4/13/2013
A/duck/Vietnam/R2-5-1428-17/2013|2013-05-06|Viet_Nam|Avian	A/duck/Vietnam/R2-5-1428-17/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/R2-5-1428-17/2013|EPI_ISL_245236|A_/_H5N1||2013-05-06	2.3.2.1e	5/6/2013
A/duck/Vietnam/R2-5-1589-15/2013|2013-05-07|Viet_Nam|Avian	A/duck/Vietnam/R2-5-1589-15/2013	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/R2-5-1589-15/2013|EPI_ISL_245237|A_/_H5N1||2013-05-07	2.3.2.1e	5/7/2013
A/duck/Khanhhoa/CVVI-25/2014|2014-02-03|Viet_Nam|Avian	A/duck/Khanhhoa/CVVI-25/2014	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Khanhhoa/CVVI-25/2014|EPI_ISL_167366|A_/_H5N1||2014-02-03	2.3.2.1e	2/3/2014
A/duck/Phuyen/CVVI-47/2014|2014-02-13|Viet_Nam|Avian	A/duck/Phuyen/CVVI-47/2014	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Phuyen/CVVI-47/2014|EPI_ISL_167388|A_/_H5N1||2014-02-13	2.3.2.1e	2/13/2014
A/chicken/Khanhhoa/CVVI-39/2014|2014-02-16|Viet_Nam|Avian	A/chicken/Khanhhoa/CVVI-39/2014	Avian	chicken	Terrestrial poultry	Vietnam	Vietnam	A/chicken/Khanhhoa/CVVI-39/2014|EPI_ISL_167380|A_/_H5N1||2014-02-16	2.3.2.1e	2/16/2014
A/duck/Vietnam/NCVD14-A340/2014|2014-05-01|Viet_Nam|Avian	A/duck/Vietnam/NCVD14-A340/2014	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD14-A340/2014|EPI_ISL_245140|A_/_H5N1||2014-05-01	2.3.2.1e	5/1/2014
A/muscovy_duck/Vietnam/LBM670/2014|2014-06-04|Viet_Nam|Avian	A/muscovy_duck/Vietnam/LBM670/2014	Avian	muscovy_duck	Wild birds	Vietnam	Vietnam	A/muscovy_duck/Vietnam/LBM670/2014|EPI_ISL_173151|A_/_H5N1||2014-06-04	2.3.2.1e	6/4/2014
A/muscovy_duck/Long_An/90/2014|2014-07-12|Viet_Nam|Avian	A/muscovy_duck/Long_An/90/2014	Avian	muscovy_duck	Wild birds	Vietnam	Vietnam	A/muscovy_duck/Long_An/90/2014|EPI_ISL_173156|A_/_H5N1||2014-07-12	2.3.2.1e	7/12/2014
A/duck/Vietnam/NCVD-15A60/2015|2015-08-20|Viet_Nam|Avian	A/duck/Vietnam/NCVD-15A60/2015	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/NCVD-15A60/2015|EPI_ISL_245305|A_/_H5N1||2015-08-20	2.3.2.1e	8/20/2015
A/chicken/Vietnam/HU4-1316/2015|2015-11-07|Viet_Nam|Avian	A/chicken/Vietnam/HU4-1316/2015	Avian	chicken	Terrestrial poultry	Vietnam	Vietnam	A/chicken/Vietnam/HU4-1316/2015|EPI_ISL_283460|A_/_H5N1||2015-11-07	2.3.2.1e	11/7/2015
A/duck/Vietnam/HU10-1759/2018|2018-08-30|Viet_Nam|Avian	A/duck/Vietnam/HU10-1759/2018	Avian	duck	Duck	Vietnam	Vietnam	A/duck/Vietnam/HU10-1759/2018|EPI_ISL_393325|A_/_H5N1||2018-08-30	2.3.2.1e	8/30/2018
